Index,Positive,Pos Freq,Negative,Neg Freq,Word,Word Freq
67,great,4.4317504,conflict,37.4030379,year,1014684
68,collaborators,4.1562656,declined,37.2252116,date,1014349
69,desired,4.0376636999999995,infringement,36.215036,yes,1013539
70,innovative,3.8191582,lack,35.2749558,check,1013450
71,achievements,3.7770154,defend,34.93908,management,1013011
72,advantages,3.7105419,cancellation,32.221513,were,1012696
73,integrity,3.657836,resignation,30.5299972,including,1012613
74,succeed,3.5713296,declines,30.2410128,principal,1011751
75,alliances,2.9764475999999997,exposed,29.622861399999998,at,1007132
76,leadership,2.7925068,delinquent,28.49457,results,1006250
77,stability,2.7800384,dissolution,28.160768400000002,under,1005998
78,exclusivity,2.3866165,insolvency,25.604333,operations,1005469
79,enabling,2.101503,unfavorable,25.4996343,company,1004584
80,collaborations,2.0712405,violations,25.3669392,accounting,1003387
81,attainment,2.0710725,delayed,24.773839999999996,outstanding,1002454
82,perfect,1.9530144,doubt,24.238764,will,1001096
83,efficiently,1.9058093999999999,error,24.084627899999997,cash,999524
84,favorably,1.8737300000000001,injury,23.038236,any,995858
85,perfected,1.78219552,foreclosure,22.93067,officer,991934
86,innovation,1.77442346,plaintiff,22.121092,exhibits,991809
87,benefited,1.59330106,penalty,21.3614648,these,991593
88,accomplish,1.53579684,difficulties,21.259645,included,991343
89,enhancing,1.52913408,invalid,20.898213,necessary,990609
90,enabled,1.45165013,bad,20.6519272,quarter,986430
91,diligently,1.3835250000000001,suffer,20.373342,specified,985673
92,strengthen,1.3384481400000001,errors,19.2579135,notes,985264
93,invention,1.3229266400000002,deficiency,18.9172794,common,984753
94,strengthening,1.3070191199999999,disputes,18.687987200000002,statement,983848
95,advancement,1.17317376,impair,18.665172000000002,shorter,983332
96,accomplished,1.1565204,dispose,18.3234895,condition,982973
97,attained,1.08623862,terminates,17.743633600000003,analysis,982559
98,positively,1.06682255,conflicts,17.163010800000002,value,980305
99,greatest,1.0557558,lost,16.6286384,discussion,980300
100,stronger,1.04933402,negligence,16.6029806,business,979977
101,charitable,0.97833468,failed,16.4984094,capital,979134
102,innovations,0.93793008,restatement,15.522883199999999,flows,977077
103,conclusively,0.9034027,misconduct,15.496444799999999,interest,976701
104,premier,0.85052734,disagreements,15.3865005,stock,976549
105,satisfying,0.82283604,omission,15.22413,certain,975039
106,advantageous,0.78839222,lose,14.5567134,balance,974693
107,satisfies,0.7851621599999999,criminal,14.3322293,based,974158
108,rewards,0.74471882,impairments,14.231388,sec,973870
109,constructive,0.7012908,cancelled,13.9682088,per,973203
110,honor,0.67790618,forfeiture,13.0327032,changes,972698
111,transparency,0.6625325,defer,12.8441046,if,972379
112,profitably,0.66208625,fines,12.832629,related,972000
113,encouraged,0.65766072,closure,12.0775476,expenses,970595
114,easily,0.62703963,misstatement,11.8627992,operating,969641
115,reward,0.60129216,weakness,11.7964729,net,969571
116,greatly,0.5661315,alleging,11.689775000000001,charter,968665
117,stabilization,0.56228088,unauthorized,11.5888335,due,968536
118,creative,0.5582522400000001,investigations,11.497404,three,968266
119,attain,0.5562379000000001,denied,11.4104614,quarterly,968091
120,gained,0.5255639,concerns,11.1592912,annual,967933
121,easy,0.515613,insufficient,10.8501815,made,965309
122,popular,0.45261048000000004,bridge,10.8472654,may,964744
123,stabilized,0.43307315999999996,challenges,10.5002613,one,964692
124,win,0.42552693,suspended,9.9767976,mark,964395
125,excellent,0.41879892999999996,suspension,9.887401,thereunto,962906
126,meritorious,0.38046811,unreasonably,9.825222100000001,assets,962497
127,enjoy,0.38034183,forfeited,9.8246038,there,962016
128,enhances,0.36514946,involuntary,9.7060056,shares,961816
129,strengths,0.34589630000000005,liquidated,9.6539468,each,961429
130,improves,0.3281608,volatile,9.2871026,it,961237
131,empowered,0.31308949999999997,defendant,8.9764815,accordance,960555
132,achieves,0.28581709,costly,8.887380400000001,following,958726
133,attaining,0.25483878,inadequate,8.8229813,upon,957927
134,strengthened,0.2480296,violate,8.814908899999999,periods,957330
135,friendly,0.23593655,unanticipated,8.8052958,current,956881
136,stabilize,0.20242712,dismissed,8.568774,material,956224
137,advancing,0.19756749999999998,allegations,8.5562122,market,956075
138,excellence,0.1811264,injunction,8.420428,income,955888
139,pleasure,0.1638212,problem,8.0353467,include,955452
140,encourages,0.16367024,lapse,8.022533399999999,telephone,954883
141,enjoyment,0.15870558,disruption,7.84494,significant,950764
142,gaining,0.1447407,ceased,7.7780712,opinion,950702
143,easier,0.14465174,nonperforming,7.7191765,basis,950657
144,collaborator,0.14346107,forfeitures,7.7082754,fiscal,948999
145,attains,0.141482,breaches,7.5749664,generally,948608
146,exceptional,0.1363446,depletion,7.5562533,had,947020
147,winning,0.1333665,inconsistent,7.486560000000001,result,946769
148,exemplary,0.13058496,omissions,7.2668375,those,946594
149,encouraging,0.12933287999999998,uncollectible,7.122082499999999,key,944291
150,diligent,0.12252672,illegal,7.114809,equity,943727
151,popularity,0.11429431000000001,obsolete,7.0313360000000005,through,943634
152,satisfactorily,0.10958486,interruption,7.027747000000001,general,943294
153,enjoyed,0.1033718,declining,6.9874299,additional,943249
154,collaborate,0.09706644,arrears,6.9794976,adjustments,941045
155,regain,0.08824739,defaulting,6.9588466,indicate,940779
156,assuring,0.08007381000000001,alleges,6.913305599999999,share,940326
157,distinctive,0.07279150000000001,unfunded,6.8262636,future,939136
158,benefiting,0.07264178,disruptions,6.609516,total,937376
159,inventor,0.071932,failures,6.5477115,than,937218
160,attractiveness,0.07056362000000001,false,6.4775802,accompanying,936889
161,pleased,0.06954369,difficulty,6.3475584,also,936579
162,honored,0.0675526,defects,6.3395912,chief,935198
163,succeeded,0.0675203,purported,6.1286238,address,932197
164,confident,0.06675291,accident,6.12685,over,931830
165,constructively,0.06255306000000001,harmed,6.073002,costs,930535
166,advancements,0.06142235,defending,6.057882,preceding,929974
167,progresses,0.05848965,poor,6.054012,used,929611
168,proactive,0.05795328,encumbrances,6.0019058,increase,928761
169,strongest,0.05469093,question,5.997770900000001,amount,925711
170,complimentary,0.0541331,prejudice,5.8757274,time,925675
171,distinction,0.052125710000000006,incident,5.8696209,issued,924128
172,optimistic,0.04367538,ceases,5.789308800000001,states,924108
173,ideal,0.04269374,cautionary,5.782392000000001,principles,923640
174,favored,0.04084948,deterioration,5.735309999999999,activities,923502
175,strengthens,0.040004,complaints,5.7149399999999995,provided,923202
176,proactively,0.03461744,canceled,5.401444,does,921606
177,prestige,0.032712240000000004,refusal,5.39189,board,920736
178,accomplishing,0.0320033,forced,5.3365299,consolidated,919780
179,smooth,0.030285689999999997,misstatements,5.277518399999999,signatures,919001
180,benefitted,0.029136250000000002,questions,5.218482799999999,accepted,918972
181,breakthrough,0.0286874,suffered,5.0177932,amounts,918238
182,inventors,0.026545330000000002,cancel,4.9015692,their,917139
183,progressed,0.022676500000000002,severe,4.6174171,liquidity,916206
184,pleasant,0.02134757,undue,4.5585384,into,916031
185,enjoys,0.02096256,downturn,4.443762400000001,fair,915856
186,dependable,0.02054745,interfere,4.3850259,exact,915401
187,succeeds,0.0202176,ineffective,4.3792119,loss,915378
188,stabilizing,0.01956258,restructured,4.3097624,code,913440
189,innovate,0.018639646,destruction,4.203825,united,912754
190,accomplishment,0.018405568,encumbrance,4.1509016,should,911551
191,loyal,0.01763336,prevention,4.0901576,term,911529
192,innovator,0.01761229,preclude,4.0469835,type,911039
193,advantaged,0.01760938,counterclaim,4.002152000000001,effective,911008
194,boost,0.017180772,challenge,3.9916400000000003,available,910058
195,accomplishments,0.017104752,claiming,3.9836246,expected,909978
196,invented,0.01706967,discontinue,3.9311965,effect,908969
197,empower,0.016787469,punitive,3.8763791999999997,sales,908610
198,honors,0.01502592,infringe,3.8343019000000003,expense,907914
199,worthy,0.014194687,expose,3.772869,incorporation,907528
200,collaborating,0.013749708,demised,3.7649027999999998,note,905036
201,rewarding,0.013462848,fraudulent,3.6596699999999998,only,904116
202,favoring,0.012866909000000001,unexpected,3.6177808000000002,new,903894
203,boom,0.010841206,suspend,3.6160294000000004,directors,903713
204,premiere,0.010383064999999999,delinquency,3.5582472,primarily,903531
205,tremendous,0.010326957,unresolved,3.4619752,legal,903299
206,solving,0.009882838,divestiture,3.4227225,cost,901950
207,outperform,0.00970344,violated,3.2659704,liabilities,901794
208,empowers,0.009568845000000001,disclosing,3.2186176,presentation,901479
209,exciting,0.009457011,revocation,3.174171,president,901171
210,progressing,0.00940134,invalidity,3.167554,prior,901018
211,conducive,0.009298245,condemnation,3.1148985000000002,could,900901
212,rebound,0.008754516,breached,3.1119186,approximately,900688
213,impressed,0.008749044000000001,deteriorate,3.0768383999999998,agreement,900497
214,perfectly,0.00864824,liquidate,3.0088332,make,899846
215,versatile,0.00790335,troubled,2.9171125,resources,899788
216,successes,0.007152113999999999,unsuccessful,2.9130875,exhibit,899560
217,winner,0.006894305999999999,noncompliance,2.8797884,first,898848
218,abundant,0.0068060609999999995,abandonment,2.8265523000000004,see,897314
219,honoring,0.0067332,defaulted,2.7929094,after,896533
220,invent,0.005930079,shortfall,2.7898838,prepared,895962
221,proficiency,0.005620836,foreclosed,2.7741824,average,895146
222,exceptionally,0.00520149,severity,2.7495314,within,894950
223,assures,0.00507454,contested,2.7487086,change,893377
224,regained,0.005023046,slow,2.7426586,data,892990
225,unmatched,0.004381652000000001,opposed,2.7401055,end,891778
226,dream,0.0042199,improper,2.7385566999999997,paid,891064
227,prosperity,0.004024272000000001,stringent,2.696124,would,887203
228,honorable,0.004013747,unemployment,2.69592,provide,887001
229,prestigious,0.0035702900000000003,terminating,2.693712,organization,885600
230,winners,0.003362744,challenging,2.6557349,being,884855
231,encouragement,0.00336232,destroyed,2.6472264,factors,884828
232,creativity,0.003209328,damaged,2.603316,years,883861
233,surpassed,0.003096456,serious,2.5128732,accounts,883657
234,informative,0.003067875,fired,2.468314,actual,882874
235,receptive,0.002645912,objection,2.4376164,increased,882274
236,outperformed,0.00259284,interruptions,2.4351996,area,881738
237,favorite,0.00256484,inquiry,2.4255666,respect,881571
238,rebounded,0.002479204,unlawful,2.3409231999999998,sale,881500
239,versatility,0.0024511019999999997,allegedly,2.3406431999999997,contained,881238
240,abundance,0.002438916,downward,2.254142,do,880521
241,surpass,0.002372028,incorrect,2.227306,price,880204
242,excited,0.00237096,abandoned,2.1807468,presented,879783
243,compliment,0.002370248,corrections,2.1734136,but,879504
244,boosted,0.002240004,resign,2.1724416,compared,878719
245,upturn,0.0022136400000000002,inaccurate,2.1354203999999997,reporting,877431
246,rewarded,0.00220206,denial,2.1343611,purchase,877365
247,distinctions,0.002186064,problems,2.0998388,position,876515
248,happy,0.002100115,interference,2.0700749999999997,disclosure,876150
249,proficient,0.002075922,protest,2.0689515,more,874911
250,influential,0.001938118,infringing,2.0664314999999998,addition,873812
251,destined,0.00185535,divert,2.0631135,about,872477
252,vibrant,0.0017062999999999998,shortages,2.0609925,use,872335
253,benefitting,0.001628105,disputed,2.0330128000000003,present,872088
254,lucrative,0.001604761,divestitures,2.0186816,rate,871923
255,enjoying,0.001604468,dismissal,1.9890227,plan,870609
256,smoothly,0.001554624,antitrust,1.9845731,can,869864
257,empowering,0.001455822,defect,1.9559112,ability,869620
258,excitement,0.001454706,unforeseen,1.9439160000000002,services,869441
259,brilliant,0.0014475459999999999,restructure,1.9430694000000002,reported,868331
260,impressive,0.0013031039999999998,disasters,1.9421106000000001,tax,868147
261,accomplishes,0.0012824899999999998,resigned,1.9177374999999999,normal,868063
262,bolstered,0.001176688,insolvent,1.9049307,disclosures,867359
263,unparalleled,0.0010590999999999999,failing,1.83447,however,865949
264,enthusiasm,0.001042884,prosecution,1.8334998,transactions,865694
265,collaborated,0.00100023,liquidating,1.82985769,relating,864702
266,dependability,0.000882756,allege,1.8195446800000001,affect,863738
267,breakthroughs,0.000780096,undercapitalized,1.8124984800000001,subsidiaries,862613
268,stabilizes,0.000739683,challenged,1.7971338,unaudited,861505
269,preeminent,0.0007255510000000001,diversion,1.7277626799999999,materially,861275
270,advantageously,0.000718732,correction,1.7168318,since,860268
271,regaining,0.000598039,restructurings,1.6740888999999999,currently,859867
272,inventive,0.000585516,obsolescence,1.66389521,continue,858319
273,upturns,0.000534378,delinquencies,1.6013045,well,858154
274,beautiful,0.000508695,nonperformance,1.5427373999999998,respectively,858148
275,courteous,0.0004919939999999999,fault,1.5320202,financing,857196
276,enjoyable,0.000485254,unqualified,1.52995672,two,856089
277,inspiration,0.00043727400000000003,overdue,1.52982112,same,853710
278,surpassing,0.00042074999999999995,terminations,1.52596164,identification,853620
279,delight,0.00039916400000000003,recall,1.50530055,connection,853091
280,innovators,0.000383812,susceptible,1.50159744,debt,852967
281,spectacular,0.000376016,catastrophe,1.49586762,when,852941
282,enthusiastic,0.00036750000000000004,redacted,1.4862771,applicable,852800
283,incredible,0.000350583,unfair,1.47568728,transition,851886
284,outperforming,0.00031694,disrupt,1.4625338,taxes,851653
285,innovating,0.00030592,cautioned,1.4486736,most,851488
286,plentiful,0.000284007,revoke,1.44585831,less,850922
287,smoothing,0.000283638,unavailable,1.4398936800000002,limited,849337
288,delighted,0.000265489,preventing,1.39930185,between,848049
289,collaborates,0.000252416,outages,1.3770642599999998,recorded,848036
290,fantastic,0.000248515,substandard,1.37115792,matters,848015
291,acclaimed,0.000217944,corrected,1.34950248,employer,847838
292,impress,0.00019776,intentional,1.34209691,defined,846986
293,revolutionize,0.000190587,impossible,1.2952576,proceedings,846580
294,rebounding,0.000190385,weak,1.28308536,purposes,846194
295,solves,0.0001873,outage,1.27970807,believes,843364
296,favorites,0.0001706585,instability,1.2769464400000001,employees,841588
297,compliments,0.0001638936,abuse,1.2768308000000002,jurisdiction,841112
298,inspirational,0.0001377948,break,1.27055856,conditions,840752
299,surpasses,0.0001349061,misrepresentation,1.2698828800000002,payable,840490
300,prosperous,0.00012978139999999998,excessive,1.23645918,offices,839920
301,bolstering,0.00011267519999999999,disaster,1.23119532,revenues,839331
302,inventing,0.0001050098,misappropriation,1.1792885,decrease,838400
303,creatively,9.649919999999999e-05,refuse,1.17141563,received,838012
304,unsurpassed,9.35361e-05,moratorium,1.15249775,forward,835918
305,ingenuity,8.6496e-05,defective,1.14178295,above,835369
306,complimented,8.57759e-05,unpredictable,1.1176807,risk,835101
307,booming,8.499139999999999e-05,knowingly,1.10689091,incurred,834676
308,insightful,7.12018e-05,ineffectiveness,1.1061449799999998,earnings,834235
309,distinctively,6.691620000000001e-05,injuries,1.08388469,process,833343
310,revolutionized,6.142559999999999e-05,investigate,1.0715713500000001,control,832776
311,distinctiveness,5.41766e-05,cut,1.0661808,revenue,832390
312,perfects,5.2576e-05,revoked,1.05477199,they,831908
313,bolsters,4.90496e-05,slowdown,1.04741692,administrative,831825
314,exclusives,4.7188e-05,threat,1.0438727399999999,operation,831808
315,happiness,3.4615e-05,crisis,1.04189344,proceeds,830182
316,revolutionizing,3.09727e-05,recession,1.02727053,regarding,829728
317,tremendously,3.0075000000000003e-05,burden,1.0243746,fairly,829482
318,incredibly,1.90443e-05,investigating,1.0020348000000001,losses,829448
319,outperforms,1.87981e-05,rejected,0.9965011,credit,827929
320,enthusiastically,1.75338e-05,seriously,0.9950121,differ,826374
321,innovativeness,1.5634900000000002e-05,discourage,0.9806218,standards,825721
322,excels,1.55232e-05,stolen,0.969696,fully,824617
323,delights,1.2064999999999999e-05,barriers,0.9561409000000001,who,823797
324,complimenting,8.5814e-06,curtail,0.91422909,corporation,823505
325,innovated,8.253e-06,infringed,0.90690888,full,823375
326,inventiveness,4.9248e-06,shut,0.90611544,below,822268
327,happily,4.5552e-06,downgrade,0.9034583,impact,822168
328,prospered,4.5396000000000005e-06,controversy,0.89920908,follows,820371
329,innovates,4.3758000000000005e-06,liquidator,0.88599952,amended,819728
330,exclusiveness,4.3758000000000005e-06,denying,0.85501832,funds,817899
331,impressing,4.2149999999999995e-06,stress,0.8405686,fees,817800
332,delighting,4.2149999999999995e-06,incapacity,0.8278584999999999,held,817682
333,beautifully,3.3499999999999997e-06,disqualified,0.82779865,policies,816543
334,impressively,3.1218e-06,negligent,0.8272068,party,815311
335,greatness,2.6418000000000003e-06,divested,0.81941036,various,815188
336,revolutionizes,2.5172e-06,undelivered,0.790998,clear,812936
337,vibrancy,2.3843e-06,discontinuance,0.7899645,both,812397
338,excelling,1.84884e-06,uninsured,0.7862508,risks,812272
339,preeminence,1.56294e-06,slower,0.77571088,payments,812116
340,delightful,1.5453e-06,vulnerable,0.7669887999999999,requires,811630
341,attainments,1.3172299999999998e-06,prolonged,0.7669695999999999,events,811582
342,prospers,1.1554200000000001e-06,cancellations,0.7668927999999999,adopted,811173
343,stabilizations,1.01844e-06,downturns,0.76431429,our,811030
344,prospering,8.6233e-07,diminish,0.76122332,month,810924
345,proficiently,5.7824e-07,sue,0.75985182,rates,810917
346,pleasantly,5.454e-07,hazards,0.75901735,long,810863
347,smooths,1.08e-07,prosecute,0.7543990500000001,payment,809769
348,happiest,8.56e-08,caution,0.74927577,accordingly,809582
349,spectacularly,7.326000000000001e-08,curtailment,0.7450343199999999,existing,809484
350,impresses,5.472e-08,disinterested,0.72845136,circumstances,809398
351,enjoyably,5.472e-08,catastrophic,0.7100016,corporate,809080
352,creativeness,2.14e-08,closings,0.70322747,conjunction,809004
353,delightfully,1.5453e-08,rejection,0.70296388,internal,808783
354,empty,1,felony,0.68947309,third,808483
355,empty,1,closures,0.68514435,assurance,807246
356,empty,1,subjected,0.6759086400000001,up,806727
357,empty,1,subpoena,0.674094,owned,805876
358,empty,1,delaying,0.66710571,because,804844
359,empty,1,restate,0.65799873,looking,803828
360,empty,1,severely,0.63635033,performance,802811
361,empty,1,injunctions,0.63392022,investment,802115
362,empty,1,wrongful,0.6333906,except,802049
363,empty,1,conviction,0.62302729,sold,801932
364,empty,1,purport,0.6163325000000001,determined,801655
365,empty,1,encumbered,0.60184782,read,800671
366,empty,1,diminished,0.57181859,rules,800340
367,empty,1,abandon,0.5678055,contain,800279
368,empty,1,nonpayment,0.56226444,affected,800072
369,empty,1,deny,0.5620836,security,800023
370,empty,1,dismiss,0.55325888,associated,799843
371,empty,1,warning,0.55139478,recent,799562
372,empty,1,shutdown,0.5455134,known,799399
373,empty,1,reject,0.54156694,sheet,798553
374,empty,1,objections,0.5400072,property,798202
375,empty,1,solvency,0.53800464,using,797263
376,empty,1,encumber,0.530005,sheets,796881
377,empty,1,opposition,0.52322861,record,795635
378,empty,1,diminution,0.51606975,includes,794496
379,empty,1,impede,0.50974344,plans,794320
380,empty,1,breakdown,0.50772492,interim,794309
381,empty,1,foreclose,0.48850578,audit,794248
382,empty,1,shortage,0.48473597,none,792867
383,empty,1,lag,0.48465453000000003,service,790438
384,empty,1,invalidated,0.48463417000000003,reflect,790304
385,empty,1,exploitation,0.48100104,further,788953
386,empty,1,hardship,0.47885816,liability,788255
387,empty,1,scrutiny,0.47560968,estimates,788254
388,empty,1,unreimbursed,0.47498472,similar,787606
389,empty,1,shortfalls,0.46929672000000006,obligations,786345
390,empty,1,bankrupt,0.46253802,without,786273
391,empty,1,incidents,0.44721005999999996,herein,785546
392,empty,1,verdict,0.44591976,recognized,785024
393,empty,1,hazard,0.44421705,senior,785016
394,empty,1,recalls,0.4313952,potential,783294
395,empty,1,weakening,0.43074239999999997,development,778732
396,empty,1,unreasonable,0.42597531,subsequent,778348
397,empty,1,sued,0.41871852,knowledge,778162
398,empty,1,disagreement,0.41168351,persons,776349
399,empty,1,unsafe,0.40835881,estimated,776300
400,empty,1,repossessed,0.40671548,table,775572
401,empty,1,threats,0.39781534,compensation,775499
402,empty,1,disregarded,0.3959174,adversely,774775
403,empty,1,disadvantage,0.38913216000000006,reasonable,774241
404,empty,1,attrition,0.38757355,recurring,773782
405,empty,1,laundering,0.38582281999999996,beginning,773616
406,empty,1,weaker,0.38264964,provides,773478
407,empty,1,violates,0.38250048,public,772881
408,empty,1,illegality,0.37693550000000003,acquisition,772780
409,empty,1,strain,0.37690407000000004,respects,772278
410,empty,1,exploit,0.37534336,considered,772242
411,empty,1,hinder,0.37533888000000004,entered,771343
412,empty,1,concerned,0.37242783999999995,covered,771334
413,empty,1,detrimental,0.37240108,forth,771311
414,empty,1,burdens,0.36421308,originator,770534
415,empty,1,unwilling,0.36416016,regulation,770519
416,empty,1,idle,0.3639132,agreements,769443
417,empty,1,illiquid,0.36361332,others,769118
418,empty,1,guilty,0.35882274000000003,asset,768992
419,empty,1,dishonesty,0.35394644999999997,require,768864
420,empty,1,improperly,0.34769632,responsible,768413
421,empty,1,disclaim,0.34413521999999996,equipment,768260
422,empty,1,invalidate,0.34153168,million,767582
423,empty,1,circumvented,0.33941976,info,767014
424,empty,1,irreparable,0.33182799,options,767009
425,empty,1,exposes,0.32862169999999996,accrued,766887
426,empty,1,renegotiated,0.32836192,portion,766011
427,empty,1,prosecuting,0.32400992,last,765992
428,empty,1,foreclosures,0.31758196000000005,assumptions,765586
429,empty,1,divest,0.31630970999999997,continued,764996
430,empty,1,forfeit,0.31315085,until,764950
431,empty,1,contesting,0.31270504,method,764673
432,empty,1,unsound,0.30990201,asymmetric,764311
433,empty,1,accidents,0.30958455,resulting,763400
434,empty,1,crime,0.30372498000000003,against,763271
435,empty,1,deter,0.29653388,uncertainties,762903
436,empty,1,involuntarily,0.29464149,necessarily,762729
437,empty,1,ineligible,0.29044104000000004,offset,762646
438,empty,1,disproportionate,0.28733991999999997,procedures,762366
439,empty,1,breakage,0.2829197,cause,760943
440,empty,1,inconsistency,0.28171904000000003,set,760812
441,empty,1,conflicting,0.27858778,sufficient,760763
442,empty,1,discontinuation,0.27758885000000005,occurred,759100
443,empty,1,corrupt,0.27702675000000004,fact,757622
444,empty,1,relinquish,0.27573119999999995,pay,757234
445,empty,1,resigns,0.27324842,before,756957
446,empty,1,deceased,0.27129867,weighted,756896
447,empty,1,accidental,0.269952,provisions,756435
448,empty,1,depressed,0.26720064,incorporated,756330
449,empty,1,restatements,0.2620057,believe,755325
450,empty,1,incomplete,0.26060018,aggregate,755285
451,empty,1,unfavorably,0.2590794,holders,754941
452,empty,1,deficits,0.258633,while,754609
453,empty,1,enjoin,0.2561325,described,753972
454,empty,1,distressed,0.2560326,meet,753933
455,empty,1,discloses,0.25068072,entities,753560
456,empty,1,downgrades,0.24280559999999998,order,752301
457,empty,1,downgraded,0.24146699,federal,751089
458,empty,1,delisting,0.2356703,working,748997
459,empty,1,precluded,0.2355851,decreased,748656
460,empty,1,underpayment,0.23327652000000001,we,747766
461,empty,1,stoppages,0.23303295000000002,deferred,747100
462,empty,1,breaching,0.23207712000000003,companies,746109
463,empty,1,impracticable,0.23163712,products,745789
464,empty,1,plea,0.23077547999999998,webmaster,744775
465,empty,1,harmful,0.22918,among,744440
466,empty,1,inappropriate,0.229124,investments,743307
467,empty,1,postpone,0.22664196,designed,742538
468,empty,1,unjust,0.22418378,rule,742537
469,empty,1,unavailability,0.222525,likely,740282
470,empty,1,jeopardize,0.22173552000000002,lower,739863
471,empty,1,prevents,0.21985271,previously,739619
472,empty,1,unprofitable,0.21877397999999998,dated,739457
473,empty,1,overruns,0.21744888,second,738587
474,empty,1,depleted,0.21488532000000002,equivalent,738135
475,empty,1,abnormal,0.21268744,reviewed,735365
476,empty,1,infringes,0.21263352,option,734819
477,empty,1,misuse,0.21246165,either,734164
478,empty,1,repossession,0.21238414,level,733552
479,empty,1,uncompleted,0.20980045,equivalents,733103
480,empty,1,erosion,0.20868988000000002,instruments,732972
481,empty,1,suspected,0.2060392,flow,732853
482,empty,1,ceasing,0.20263439,therefore,732620
483,empty,1,overcome,0.20259819999999998,nature,731922
484,empty,1,disclaimer,0.20101152,completed,731649
485,empty,1,wrongdoing,0.19871982000000002,case,731631
486,empty,1,inconvenient,0.1965384,remaining,730880
487,empty,1,critically,0.19636668,subsidiary,730274
488,empty,1,weakened,0.19426904,fourth,730106
